State,Abbreviation,City,crime_index,traffic_index,pollution_index,health_care_index,rent_index,property_price_to_income_ratio,safety_index,cpi_index,Code,lakes_count,parks_count,population,min_wage,quality_of_life
Texas,TX,Wichita Falls,26.286764705882355,87.0289541338473,40.94827586206897,83.33333333333334,18.959815700525173,7.307396080309402,73.71323529411767,71.75245529239697,TX,3,132,104790,7.25,291.78
Colorado,CO,Boulder,18.374272786037487,42.65528983856033,21.976787580235854,80.40123456790123,55.46904725626204,8.414371145886681,81.62572721396252,74.82770930416264,CO,3,106,97752,12.0,348.01
Connecticut,CT,Bristol,16.176470588235293,174.84855143298924,43.10344827586207,77.29712117000055,39.61158910105185,2.3174621367926918,83.82352941176471,73.03952325791346,CT,3,60,60502,12.0,255.75
Missouri,MO,Independence,33.823529411764696,170.8935715306066,30.566735402289932,53.70370370370371,26.00014413518838,2.314406949231228,66.17647058823529,85.79257505630932,MO,5,94,116891,9.45,221.57
New York,NY,Irondequoit town,46.21847512537804,130.53837963387335,43.57618805790395,69.73870478296334,47.52867774849945,4.7004503427906466,53.78152487462196,74.62812428296574,NY,7,113,51577,11.8,219.82
Pennsylvania,PA,Lancaster,42.98642533936652,129.78738858017107,38.01313628899836,91.07142857142858,31.57252497103697,1.4591998868833966,57.01357466063349,62.81603929545767,PA,1,133,59277,7.25,243.02
California,CA,Paramount,14.705882352941178,77.3771498290633,67.92328042328043,41.66666666666666,52.02716180436661,5.233338555209354,85.2941176470588,71.98294062018061,CA,7,62,54104,13.0,281.56
California,CA,Temecula,15.240641711229944,218.39627731657603,31.41762452107279,42.592592592592595,42.26669425924991,1.873872182641814,84.75935828877006,75.42423657432387,CA,6,16,100703,13.0,218.97
Massachusetts,MA,Worcester,48.69047619047619,125.96622133282983,25.57471264367816,54.91071428571429,34.666858846917826,7.927451019104764,51.309523809523824,76.29296476110777,MA,2,129,181759,12.75,218.68
California,CA,Monterey Park,63.61918298565006,112.40053365074542,33.34003474481093,71.87092640162815,29.017810690793997,1.727024800576568,36.38081701434993,60.36762517950496,CA,6,11,60218,13.0,153.82
Indiana,IN,Pike township,39.2892156862745,134.6054650181441,19.252873563218394,87.5,29.857571204092714,4.658946646551371,60.71078431372549,83.57933402109776,IN,5,82,78001,7.25,242.42
Michigan,MI,Westland,45.44117647058823,239.81410260390817,27.58620689655172,73.24074074074075,29.392927801408053,1.178841437896058,54.55882352941176,91.68795898080037,MI,5,123,83959,9.65,179.29
Tennessee,TN,Nashville-Davidson metropolitan government,30.520900667959495,119.35951119215389,37.20494663382595,72.74305555555556,39.81045325257682,7.715190195744683,69.4790993320405,59.13906844425313,TN,7,94,627746,7.25,271.01
Connecticut,CT,Waterbury town,63.75234284890426,203.8792720432234,31.39316502463054,71.99074074074073,30.587232441140692,2.018599436166589,36.24765715109573,92.25161644283628,CT,3,38,110350,12.0,118.34
Utah,UT,Logan,34.803921568627466,102.99117560785378,23.33333333333333,73.6111111111111,28.539693097230035,5.072633867251028,65.19607843137254,70.14929863605998,UT,9,31,48448,7.25,244.63
Iowa,IA,Council Bluffs,45.734536601201754,100.05807397453691,29.70001067577667,75.86050724637681,30.123334647291244,2.4994629828717203,54.265463398798246,71.23141987641084,IA,6,66,62370,7.25,229.08
California,CA,Pasadena,24.002100840336126,217.7428443119812,37.67241379310345,90.27777777777777,69.9642865641534,7.0114370181030425,75.99789915966387,76.60105542924734,CA,6,63,137111,13.0,234.64
